Id,nsfw_score
XKl8-ywn4_U,0.492040753
D7n6AuWN9-U,0.068570271
WUpjoD6oNe4,0.012999268
hkBcTOa21oQ,0.054990616
ezkT_K27ETU,0.055725053
lE6zesK92r0,0.001915512
GmJsOuEUrtU,0.335655123
sMZ43BgT_fE,0.047214676
wItQQBJrF2E,0.952969015
rmk6K94klmg,0.106680542
SbLt-ccsQ6Q,0.030162334
ag3MVzr0CkE,0.019890402
25wYOGPPaLI,0.009645743
vLbmbpTLd78,0.006599468
GaXcPTMg-sQ,0.010593664
323D61KfbPQ,0.203947783
awkCZ2kl604,0.075563334
qMaTrC0ZCJk,0.000758641
D-YtinmJPP4,0.027214071
EMr-AWM0ucI,0.0026187
7SbDMt3Mkvs,0.027645487
0OrmB9ewVtY,0.000410098
GNTeef3u5f8,0.001084477
wB-A9KrYh7s,0.028061859
yOKDc0OnaYE,0.004561506
SLofmqH6LPk,0.149612889
saC-bO41cno,0.014109653
eNSNj5euWlk,0.082184032
fXNk_X_qeIM,0.043516014
nZCfLRqvgwI,0.006660568
TcPd8Jrfz4c,0.016435545
hPiSfyMIdNg,0.0467875
b99sWjKNgo0,0.786149025
vJjGUO3fRGs,0.006780683
ZhxgqFvyvjY,0.051643528
hvcaSYLFrw0,0.136203513
5KJDWqfX7r4,0.001033283
Eyiqu4JmSlc,0.975665271
d6qN_fIuztg,0.000938005
PE41rSDDwkU,0.002009423
7Vg3K_VLGsw,0.000303384
5F-NCbAcpYE,0.00035531
sladgOKh724,0.087914094
MfpqOGM2QjY,0.01068703
dXUcVPv-Hec,0.003309274
y_NX_czk9DU,0.000303475
bzNQ1CEtLeY,0.119815797
Ti1vpXFDrAM,0.014354594
EZBM8ntt5l8,0.224011615
ZphZriMCQQM,0.001386561
UcdPJA4czd8,0.000480979
rZu2d-r_0aQ,0.506599486
X0b84-MUOs8,3.92E-06
jFZd2oN3_1Q,0.418039501
vJhvqSMiziU,0.001178726
YGDd3nXWN_U,0.03734684
hr0i3GmJa6w,0.017029092
nISZwexgvxs,0.005603374
YklI_oY3Zgc,0.026925044
woALUWL9r_U,0.133701593
4BCoBz7tugw,0.008473469
Ly28T15giYw,0.008114586
3OHymHNSD30,0.344645381
7hnpa-ecYCc,0.194645852
PsEiPZX1IF4,0.015205897
0-NwUA1AVX4,0.005888036
oXsQ79XXrWo,0.002868465
HYYYbdVyLw0,0.038155116
fwdeGH9kRLM,0.007197092
rwIOEzi0zZA,0.007501001
EmbfE_e5hZk,0.125850469
Oh0HPrCA1_U,0.045324303
Q-huELg8m7U,0.000337562
_Q9BF8gnzvo,0.000815045
5KqK5_q7KEU,0.006171217
L2Bzkl_rVCc,0.006017983
aUGgYcdZoAA,0.177678838
S2kqcFi-Tog,0.475494325
9WYLf3glxjE,0.006711198
TCjFl8JvzyE,0.001273359
kXfyd0PqizA,0.145945668
7cOZ1FJ487k,0.013723746
GUx2CUt1lKU,0.073891163
NyvwMjJn0w0,0.013448566
kGRpViQfXe8,0.711347818
gLFfbnbRTBc,0.569920063
nIzEGZs97dE,0.152460694
ge05PgV54VA,0.002064396
sO5jv9mKrdA,0.490890026
ALcp-LsqK58,0.00217826
8U_nJZeppIU,0.121771842
kr0DzC4nGrk,0.047246773
MOmXRklMFcw,0.09719649
Y55sY2liOuM,0.015275596
FeQvuOweFEo,0.117307022
94VSDNHdRik,0.002264667
dLLVxevCs94,0.036297705
DcOU4gQpc24,0.09114708
cVG8MwLNbA0,0.009000677
DNZkFt14CWU,0.005098179
ZUqn8CpiTOg,0.077157803
kB9MOQQkszk,0.004349859
-PG2KtOz-0k,0.029327445
gC46JaOi0gE,0.005569291
i8zVfYJaVv4,0.069277726
aa89Zb_DJH0,0.002806857
VCllPflQBN8,0.014434835
E7EW0Ho686M,0.685560107
hw8w7zBDMa8,0.234007955
akJVYi1uHds,0.00027605
7VxnztLhxAk,0.342915386
yXRbHZCitRU,0.012672005
0I_ugkPtduc,0.000500137
5Mt2p6UpriA,0.004903274
4mmDh6zxZq8,0.000285244
0jXkFTLr9BA,0.056958929
KM-mVWnMbBI,0.000320743
C1LOL1WBdCo,0.200096801
boCOGcWJT58,0.021860469
KWMZfzH-36Q,0.013924445
eIEdcMoMUm0,0.001588658
2fqwm-eTKqA,0.007794732
HPtJXUXkQSA,0.021235734
9hxTWtmbFeM,0.000838454
lfKWg6ErhkA,0.228224993
uyjG325nWes,0.00585695
JJogi6impZ4,0.015014467
izhvaUbbW2E,0.013789675
c1_kdDaEGuc,0.000579533
9GwIaRdxTFk,0.035209224
4FHVEIeHuIs,0.069853649
N7yLkJJJ9zM,0.220520899
66eJhEx-vuk,2.92E-05
xgMlFJpmByE,0.000565833
XyE4236vIa0,0.032185439
qfWsfFXG4OA,0.085845023
_qm8_7Ju6Ns,0.818296909
RQD4qkXSq_I,0.452362984
YBijVk9U9Zk,0.295844793
ySP7t05xSOs,0.007587281
DnzhA8pa3LQ,0.079525113
7pGR6zBMEOg,0.681992352
1oRSD-imnb4,0.027192822
HLrDulLq-H4,0.089310959
eGndXn_eWR4,0.07618589
ggxyteZONJo,0.145831749
ULdWv7uYT6U,0.00776351
a5J6bIh4pTs,0.00314885
k2pHUrNoqvA,0.001691573
2oc8E7BiYsM,0.037838243
LpJrkmoX3_k,0.000398275
35PyopwcDQI,0.01798627
VI2WYWdTrEk,0.006716312
V79qraQQzqw,0.043433819
MaAXTf4lCPI,0.318713635
aezG8WTuVEY,0.017026169
RkXF3P67jlc,0.082781658
77iq-JbBZ2A,0.287250817
JBK-dVpguDQ,0.876141965
z1_8z5pdAT8,0.076736964
rdGazhJtqtM,0.262910545
6NKyoVEoppQ,0.158575609
xCRlTBsaWfA,0.009854326
RKPnhWD7E7s,0.000675045
1USctDC2Aww,0.004978881
gta2zFdNwKE,0.227497742
5N4ezbjHQ-k,0.028537277
prW-L6nlqII,0.258508354
5sWLtF1UWxU,0.024780512
ha-2G9e24-0,0.002123112
ua6M593N074,0.005611686
PdJfbzgv9wc,0.011784571
7POTfE6F9_o,0.212302715
1iL0-ogzq-I,6.99E-05
HWQcmV3Fgo8,0.006590802
NCGBqBC9jX8,0.009242374
YhBHSsoiP_Y,0.002365314
ltNc-qQPRrw,0.000190951
EfRmzCXplcM,0.02081202
XXOO9qOUavI,0.002015917
4-SH1XKxg0g,0.01693817
_Jhzmi_7s7s,0.036831055
UcNfYq8GVuw,0.003195561
jnGkC4Rh-Iw,0.04503271
