,LikeCount,DislikeCount,ViewCount,CommentCount,ContainsText,nsfw_score,Title-Clickbait,subscriberCount,channelVideoCount,channelViewCount,isSponsored,hasDiscount,is_english,is_Abs,is_Chest,is_Back,is_Legs,is_Arms,PublishedYear,ChannelAge
5671,45,0,5254,6,0,0.00206932937726,0.151662424,0,154,430410,0,0,1,0,0,1,0,0,2014,2009
5672,268,3,5249,16,0,0.0111165652052,0.473007053,20100,147,1337718,0,0,0,0,0,0,0,0,2015,2013
5673,37,14,5249,23,0,0.0400477237999,0.179106355,4105,1066,1867591,0,0,1,0,0,0,0,0,2013,2010
5674,39,0,5248,5,0,0.0112274819985,0.321107864,0,481,8396683,0,0,1,0,0,0,0,0,2012,2010
5675,10,2,5237,0,0,0.133261278272,0.092522405,48,47,8024,0,0,1,0,0,0,1,0,2013,2010
5676,79,12,5236,9,0,0.0172179397196,0.232578292,8683,176,2054431,0,0,1,0,1,0,0,0,2014,2012
5677,168,4,5234,25,0,0.0886781141162,0.138892263,219261,1005,30562172,1,0,1,0,0,0,0,0,2014,2012
5678,40,0,5233,3,0,0.0594495236874,0.117193319,41677,953,24320821,0,0,0,0,0,0,0,0,2014,2006
5679,4,4,5233,0,0,0.80198174715,0.151498467,299,24,190588,0,0,0,1,0,0,0,0,2011,2011
5680,22,2,5230,9,0,0.1866389364,0.322298586,0,1794,64354111,0,0,1,0,0,1,0,0,2013,2009
5681,37,5,5229,13,0,0.0743110403419,0.405674398,211,12,55706,0,0,1,0,0,0,0,0,2011,2010
5682,15,0,5228,1,0,0.000573448312934,0.106601603,1945,231,725637,0,0,1,0,0,0,0,0,2011,2010
5683,37,1,5227,4,0,0.14991080761,0.471073747,3478,228,1727060,0,0,1,0,0,0,1,0,2012,2008
5684,1,0,5227,0,0,0.00301878014579,0.388671905,39,50,121020,0,0,0,0,0,0,0,0,2007,2007
5685,7,1,5226,0,0,0.000747292710003,0.052604314,16,17,18537,0,0,0,0,0,0,0,0,2012,2012
5686,7,3,5224,1,0,0.241948887706,0.003937223,144,79,80022,0,0,1,0,0,0,0,0,2010,2010
